,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Value
74,14.86,1988-03-31,1049.1700439453125,,,-0.14865338627838698,e)Below18.8,e)Below18.8,12.204,13.982,16.576,21.922,3,1.0,2.0,3.0,0.06729475100942127,0.06844626967830253,0.04036652945598294,0.10440631329537203,6.8
75,14.86,1988-04-30,1075.6600341796875,,,0.30298223309649686,e)Below18.8,e)Below18.8,12.23,14.01,16.3,21.91,3,1.0,2.0,3.0,0.06729475100942127,0.06800691862293504,0.04036734405277544,0.10438447553898311,7.13
76,14.78,1988-05-31,1133.81005859375,,,0.6487182481413845,e)Below18.8,e)Below18.8,12.244,14.026,16.068,21.886,3,1.0,2.0,3.0,0.06765899864682003,0.06765899864682003,0.04036815864956795,0.1043626377825942,7.63
77,15.71,1988-06-30,1178.530029296875,,,0.47330648054321056,e)Below18.8,e)Below18.8,12.258000000000001,14.042,15.835999999999999,21.862,3,1.0,2.0,3.0,0.06365372374283895,0.06761328310719379,0.04036897324636046,0.1043408000262053,7.81
78,15.89,1988-07-31,1169.4599609375,,,-0.09235303098507908,e)Below18.8,e)Below18.8,12.272,14.066,15.856,21.838,2,1.0,2.0,3.0,0.06293266205160478,0.06756756756756756,0.04036978784315297,0.10431896226981639,8.13
79,16.08,1988-08-31,1253.6800537109375,,,0.8641947112674702,e)Below18.8,e)Below18.8,12.286000000000001,14.098,15.966,21.814,2,2.0,1.0,2.0,0.06218905472636817,0.06743115928849441,0.04037060243994548,0.10429712451342749,8.38
80,17.32,1988-09-30,1308.25,,,0.5223337114843645,e)Below18.8,e)Below18.8,12.3,14.13,16.08,21.79,2,1.0,2.0,2.0,0.057736720554272515,0.06729475100942127,0.04037141703673799,0.10427528675703858,8.31
81,18.12,1988-10-31,1273.760009765625,,,-0.3163614621154216,e)Below18.8,e)Below18.8,12.338000000000001,14.154,16.212,21.733999999999998,2,1.0,3.0,2.0,0.05518763796909492,0.06729475100942127,0.04038784821990312,0.10425902761669185,8.38
82,17.69,1988-11-30,1330.22998046875,,,0.5319994686928418,e)Below18.8,e)Below18.8,12.376000000000001,14.178,16.438,21.678,2,1.0,3.0,2.0,0.05652911249293386,0.06729475100942127,0.04040427940306826,0.10424276847634512,9.56
83,18.22,1988-12-31,1324.3399658203125,,,-0.053133801537342595,e)Below18.8,e)Below18.8,12.414000000000001,14.254000000000001,16.851999999999997,21.622000000000003,2,1.0,3.0,2.0,0.054884742041712405,0.06605178250406255,0.040420710586233394,0.10422650933599839,9.19
84,18.3,1989-01-31,1289.7900390625,,0.19056813166295594,-0.3130609449190356,e)Below18.8,e)Below18.8,12.452,14.382,16.994,21.566000000000003,2,1.0,4.0,2.0,0.0546448087431694,0.06480881399870382,0.04043714176939853,0.10421025019565165,9.25
85,17.73,1989-02-28,1319.8800048828125,,0.24243884619861622,0.27995222393422026,e)Below18.8,e)Below18.8,12.49,14.51,17.0,21.51,2,1.0,3.0,2.0,0.05640157924421884,0.06476686654627747,0.04045357295256367,0.10419399105530493,10.06
86,17.71,1989-03-31,1374.0400390625,,0.3096447491919825,0.4924087096947538,e)Below18.8,e)Below18.8,12.506,14.534,17.035999999999998,21.458000000000002,2,1.0,3.0,2.0,0.0564652738565782,0.06472491909385114,0.0404700041357288,0.10417773191495819,10.06
87,18.54,1989-04-30,1407.050048828125,,0.30808062409900727,0.28828862764273566,e)Below18.8,e)Below18.8,12.522,14.558,17.112,21.406000000000002,2,1.0,3.0,2.0,0.05393743257820928,0.06439320906646433,0.04048643531889393,0.10416147277461146,9.88
88,18.35,1989-05-31,1477.219970703125,,0.3028813419906522,0.5984428650575015,e)Below18.8,e)Below18.8,12.538,14.576,17.268,21.354000000000003,2,2.0,3.0,2.0,0.0544959128065395,0.06406149903907751,0.04050286650205907,0.10414521363426472,9.69
